English,Chinese
Access Number,訪問號
Access Numbers,訪問號碼
Account,帳戶
Account Type,帳戶類型
Account Valid Days,帳戶有效天數
Account Verification By,帳戶驗證人
Accounts,帳目
Accounts Report,帳戶報告
ACD,ACD
Action,行動
Action Type,動作類型
Add,加
Add Country,添加國家
Add Currency,添加貨幣
Add Destination,添加目的地
Add Ratedeck,添加評分
Address1,地址1
Administrator,管理員
Admin,管理員
Admins,管理員
After Balance,平衡後
Alarm,報警
Alert Status,警報狀態
Allow integration with Fraud detection,允許與欺詐檢測集成
Allow IP Management,允許IP管理
Allow Local Call,允許本地通話
Allow Local Calls,允許本地通話
Allow Loss Less Routing,允許減少損耗的路由
Allow Max Retries,允許最大重試
Allow Recording,允許錄音
Amount,量
Amount INR,金額INR
Answered Calls,已接電話
Applicable For,適用於
Apply on existing accounts,申請現有帳戶
Archive,封存
ASR,ASR
Attachement,附件
Attempted Calls,嘗試通話
Audit,審計
Audit Log,審核日誌
Audit Logs Older Than Days,審計日誌比以前更舊
Authorize.net,Authorize.net
Automatically,自動地
Balance,平衡
Balance Announcement,餘額公告
Balance Below,餘額低於
Base Currency,基礎貨幣
Basic,基本的
Basic Information,基本信息
Batch Update,批量更新
Before Balance INR,餘額前INR
Begins With,開始於
Beta,貝塔
Billable,可開票
Billing,開票
Billing Cycle,結算週期
Billing Days,帳單天數
Billing Information,賬單信息
Billing Type,帳單類型
Body,身體
Buy Cost,購買費用
Call Barring,呼叫限制
Call Date,通話日期
Call Detail Reports,通話明細報告
Call Max Length,通話最大長度
Call State,通話狀態
Call Summary Reports,通話摘要報告
Call Timeout,通話超時
Call Type,通話類型
Call Types,通話類型
Called Number,被叫號碼
Caller ID,來電顯示
Caller IDs,來電顯示
Caller IP,來電者IP
Caller Name,來電者姓名
Caller Number,來電號碼
Caller-Id-In-Form,來電顯示表格
Calling Card,電話卡
Calls,來電
Calls Breakdown,來電細目
Calltype Information,呼叫類型信息
Can be purchased?,可以購買嗎？
Capital,首都
Capture Server,捕獲服務器
Card Input Timeout,卡輸入超時
Card Length,卡長
Card Retries,卡重試
Carriers,承運人
Category,類別
CC,抄送
CDRs Older Than Days,CDR早於
Charge Type,收費類型
Charges Breakdown,收費明細
Charges History,收費記錄
CID,客戶編號
City,市
Clear,明確
Client IP,客戶IP
Client User Agent,客戶用戶代理
Code,碼
Codecs,編解碼器
Commission,佣金
Commission Rate,佣金率
Commission Reports,佣金報告
Company,公司
Company Profiles,公司簡介
Company Tax number,公司稅號
Completed Calls,已完成的通話
Concurrent Calls,並發通話
Configuration ,組態
Confirmed,已確認
Connection Cost,連接費用
Contains,包含
Cost,成本
Cost/Min,成本/分鐘
Countries,國別
Country,國家
Country Code,國家代碼
Country List,國家清單
Country Reports,國家報告
Coupon Information,優惠券信息
Coupon Number,優惠券編號
CPS,CPS
Create,創造
Create Admin,創建管理員
Create calltype,創建呼叫類型
Create Company Profile ,創建公司資料
Create Customer,建立客戶
Create Origination Rate,創建始發率
Create Product ,創建產品
Create Provider,創建提供者
Create Rate Group,創建費率組
Create Refill Coupon,創建充值券
Create SIP Device,創建SIP設備
Create Tax,建立稅收
Created Date,創建日期
Creation Date,創建日期
Credit,信用
Credit Limit,信用額度
Crons,Crons
Currency,貨幣
Currency Conversion Loss Percentage,貨幣換算損失率
Currency List,貨幣清單
Customer,顧客
Customer CDRs Report ,客戶CDR報告
Customer Summary,客戶總結
Customer Summary Report ,客戶摘要報告
Customers,顧客
Dashboard,儀表板
Database,數據庫
Date,日期
Debit,借方
Debug,除錯
Decimal Points,小數點
Default Increment ,默認增量
Default Invoice Mode,默認發票模式
Default Tax,違約稅
Delete,刪除
Deleted Accounts After Days,幾天后刪除帳戶
Description,描述
Destination,目的地
